0,1,2
病名,发病数,死亡数
甲乙丙类总计,38591,112
甲乙类传染病合计,17935,111
鼠 疫,0,0
霍 乱,0,0
传染性非典,0,0
艾滋病,172,97
病毒性肝炎,8829,4
甲型肝炎,27,0
乙型肝炎,6631,1
丙型肝炎,2101,3
丁型肝炎,3,0
戊型肝炎,48,0
肝炎未分型,19,0
脊 灰,0,0
人禽流感,0,0
麻 疹,41,0
出 血 热,17,1
狂 犬 病,2,2
乙脑,10,0
登革热,2,0
炭 疽,0,0
细菌性和阿米巴性痢疾,1624,0
肺结核,5059,6
伤寒和副伤寒,28,0
流 脑,0,0
百 日 咳,11,0
白 喉,0,0
新生儿破伤风,0,0
猩 红 热,170,0
布 病,283,0
淋 病,315,0
梅 毒,1351,0
钩 体 病,0,0
血吸虫病,0,0
疟疾,21,0
人感染H7N9禽流感,0,1
丙类传染病合计,20656,1
流行性感冒,871,0
流行性腮腺炎,3471,0
风疹,1,0
急性出血性结膜炎,380,0
麻风病,0,0
斑疹伤寒,1,0
黑热病,0,0
包虫病,2,0
丝虫病,0,0
其它感染性腹泻病,8337,0
手足口病,7593,1
