疾病病种,发病数,死亡数,date,year,month,url
甲乙丙类总计,29604.0,105.0,2009-1,2009,1,http://wsjkw.henan.gov.cn/2009/02-05/1270027.html
甲乙类传染病合计,22162.0,103.0,2009-1,2009,1,http://wsjkw.henan.gov.cn/2009/02-05/1270027.html
鼠疫,0.0,0.0,2009-1,2009,1,http://wsjkw.henan.gov.cn/2009/02-05/1270027.html
霍乱,0.0,0.0,2009-1,2009,1,http://wsjkw.henan.gov.cn/2009/02-05/1270027.html
传染性非典,0.0,0.0,2009-1,2009,1,http://wsjkw.henan.gov.cn/2009/02-05/1270027.html
艾滋病,132.0,86.0,2009-1,2009,1,http://wsjkw.henan.gov.cn/2009/02-05/1270027.html
病毒性肝炎,12327.0,2.0,2009-1,2009,1,http://wsjkw.henan.gov.cn/2009/02-05/1270027.html
甲型肝炎,125.0,0.0,2009-1,2009,1,http://wsjkw.henan.gov.cn/2009/02-05/1270027.html
乙型肝炎,8503.0,2.0,2009-1,2009,1,http://wsjkw.henan.gov.cn/2009/02-05/1270027.html
丙型肝炎,3571.0,0.0,2009-1,2009,1,http://wsjkw.henan.gov.cn/2009/02-05/1270027.html
戊型肝炎,67.0,0.0,2009-1,2009,1,http://wsjkw.henan.gov.cn/2009/02-05/1270027.html
肝炎未分型,61.0,0.0,2009-1,2009,1,http://wsjkw.henan.gov.cn/2009/02-05/1270027.html
脊灰,0.0,0.0,2009-1,2009,1,http://wsjkw.henan.gov.cn/2009/02-05/1270027.html
人禽流感,0.0,0.0,2009-1,2009,1,http://wsjkw.henan.gov.cn/2009/02-05/1270027.html
甲型H1N1流感,105.0,0.0,2009-1,2009,1,http://wsjkw.henan.gov.cn/2009/02-05/1270027.html
麻疹,50.0,0.0,2009-1,2009,1,http://wsjkw.henan.gov.cn/2009/02-05/1270027.html
出血热,10.0,0.0,2009-1,2009,1,http://wsjkw.henan.gov.cn/2009/02-05/1270027.html
狂犬病,7.0,8.0,2009-1,2009,1,http://wsjkw.henan.gov.cn/2009/02-05/1270027.html
乙脑,0.0,0.0,2009-1,2009,1,http://wsjkw.henan.gov.cn/2009/02-05/1270027.html
登革热,0.0,0.0,2009-1,2009,1,http://wsjkw.henan.gov.cn/2009/02-05/1270027.html
炭疽,0.0,0.0,2009-1,2009,1,http://wsjkw.henan.gov.cn/2009/02-05/1270027.html
细菌性和阿米巴性痢疾,670.0,0.0,2009-1,2009,1,http://wsjkw.henan.gov.cn/2009/02-05/1270027.html
肺结核,6181.0,7.0,2009-1,2009,1,http://wsjkw.henan.gov.cn/2009/02-05/1270027.html
伤寒和副伤寒,4.0,0.0,2009-1,2009,1,http://wsjkw.henan.gov.cn/2009/02-05/1270027.html
流脑,2.0,0.0,2009-1,2009,1,http://wsjkw.henan.gov.cn/2009/02-05/1270027.html
百日咳,0.0,0.0,2009-1,2009,1,http://wsjkw.henan.gov.cn/2009/02-05/1270027.html
白喉,0.0,0.0,2009-1,2009,1,http://wsjkw.henan.gov.cn/2009/02-05/1270027.html
新生儿破伤风,1.0,0.0,2009-1,2009,1,http://wsjkw.henan.gov.cn/2009/02-05/1270027.html
