疾病病种,发病数,死亡数,date
甲乙丙类总计,22714.0,18.0,2013-1
甲乙类传染病合计,8954.0,18.0,2013-1
鼠疫,0.0,0.0,2013-1
霍乱,0.0,0.0,2013-1
传染性非典型肺炎,0.0,0.0,2013-1
艾滋病,76.0,8.0,2013-1
病毒性肝炎,2016.0,5.0,2013-1
甲型肝炎,44.0,0.0,2013-1
乙型肝炎,1369.0,3.0,2013-1
丙型肝炎,218.0,0.0,2013-1
戊型肝炎,231.0,1.0,2013-1
肝炎未分型,154.0,1.0,2013-1
脊髓灰质炎,0.0,0.0,2013-1
人感染高致病性禽流感,0.0,0.0,2013-1
甲型H1N1流感,54.0,0.0,2013-1
麻疹,8.0,0.0,2013-1
流行性出血热,64.0,0.0,2013-1
狂犬病,1.0,1.0,2013-1
流行性乙型脑炎,0.0,0.0,2013-1
登革热,0.0,0.0,2013-1
炭疽,0.0,0.0,2013-1
细菌性和阿米巴性痢疾,162.0,0.0,2013-1
肺结核,2689.0,4.0,2013-1
伤寒与副伤寒,28.0,0.0,2013-1
流行性脑脊髓膜炎,1.0,0.0,2013-1
百日咳,3.0,0.0,2013-1
白喉,0.0,0.0,2013-1
新生儿破伤风,4.0,0.0,2013-1
猩红热,150.0,0.0,2013-1
布鲁氏菌病,10.0,0.0,2013-1
淋病,1217.0,0.0,2013-1
梅毒,2454.0,0.0,2013-1
钩端螺旋体病,0.0,0.0,2013-1
血吸虫病,0.0,0.0,2013-1
疟疾,17.0,0.0,2013-1
丙类传染病合计,13760.0,0.0,2013-1
流行性感冒,187.0,0.0,2013-1
流行性腮腺炎,1176.0,0.0,2013-1
风疹,49.0,0.0,2013-1
急性出血性结膜炎,122.0,0.0,2013-1
麻风病,1.0,0.0,2013-1
斑疹伤寒,1.0,0.0,2013-1
黑热病,0.0,0.0,2013-1
包虫病,1.0,0.0,2013-1
丝虫病,0.0,0.0,2013-1
其它感染性腹泻病,6974.0,0.0,2013-1
手足口病,5249.0,0.0,2013-1
甲乙丙类总计,29857.0,12.0,2013-10
甲乙类传染病合计,10010.0,12.0,2013-10
鼠疫,0.0,0.0,2013-10
霍乱,0.0,0.0,2013-10
传染性非典型肺炎,0.0,0.0,2013-10
艾滋病,128.0,5.0,2013-10
病毒性肝炎,1865.0,0.0,2013-10
甲型肝炎,38.0,0.0,2013-10
乙型肝炎,1399.0,0.0,2013-10
丙型肝炎,175.0,0.0,2013-10
戊型肝炎,118.0,0.0,2013-10
肝炎未分型,135.0,0.0,2013-10
脊髓灰质炎,0.0,0.0,2013-10
人感染高致病性禽流感,0.0,0.0,2013-10
甲型H1N1流感,5.0,0.0,2013-10
麻疹,6.0,0.0,2013-10
流行性出血热,31.0,0.0,2013-10
狂犬病,2.0,2.0,2013-10
流行性乙型脑炎,0.0,0.0,2013-10
登革热,5.0,0.0,2013-10
炭疽,0.0,0.0,2013-10
细菌性和阿米巴性痢疾,338.0,0.0,2013-10
肺结核,3174.0,5.0,2013-10
伤寒与副伤寒,39.0,0.0,2013-10
流行性脑脊髓膜炎,0.0,0.0,2013-10
百日咳,2.0,0.0,2013-10
白喉,0.0,0.0,2013-10
新生儿破伤风,4.0,0.0,2013-10
猩红热,34.0,0.0,2013-10
布鲁氏菌病,2.0,0.0,2013-10
淋病,1396.0,0.0,2013-10
梅毒,2960.0,0.0,2013-10
钩端螺旋体病,3.0,0.0,2013-10
血吸虫病,0.0,0.0,2013-10
疟疾,14.0,0.0,2013-10
人感染H7N9禽流感,2.0,0.0,2013-10
丙类传染病合计,19847.0,0.0,2013-10
流行性感冒,174.0,0.0,2013-10
流行性腮腺炎,740.0,0.0,2013-10
风疹,21.0,0.0,2013-10
急性出血性结膜炎,78.0,0.0,2013-10
麻风病,0.0,0.0,2013-10
斑疹伤寒,1.0,0.0,2013-10
黑热病,0.0,0.0,2013-10
包虫病,0.0,0.0,2013-10
丝虫病,0.0,0.0,2013-10
其它感染性腹泻病,11061.0,0.0,2013-10
手足口病,7772.0,0.0,2013-10
甲乙丙类总计,35739.0,19.0,2013-11
甲乙类传染病合计,9392.0,18.0,2013-11
鼠疫,0.0,0.0,2013-11
霍乱,0.0,0.0,2013-11
传染性非典型肺炎,0.0,0.0,2013-11
艾滋病,96.0,8.0,2013-11
病毒性肝炎,1802.0,0.0,2013-11
甲型肝炎,48.0,0.0,2013-11
乙型肝炎,1301.0,0.0,2013-11
丙型肝炎,191.0,0.0,2013-11
戊型肝炎,128.0,0.0,2013-11
肝炎未分型,134.0,0.0,2013-11
脊髓灰质炎,0.0,0.0,2013-11
人感染高致病性禽流感,0.0,0.0,2013-11
甲型H1N1流感,9.0,0.0,2013-11
麻疹,13.0,0.0,2013-11
流行性出血热,59.0,0.0,2013-11
狂犬病,1.0,0.0,2013-11
流行性乙型脑炎,1.0,0.0,2013-11
登革热,3.0,0.0,2013-11
炭疽,0.0,0.0,2013-11
细菌性和阿米巴性痢疾,188.0,0.0,2013-11
肺结核,2950.0,7.0,2013-11
伤寒与副伤寒,34.0,0.0,2013-11
流行性脑脊髓膜炎,0.0,0.0,2013-11
百日咳,2.0,0.0,2013-11
白喉,0.0,0.0,2013-11
新生儿破伤风,4.0,1.0,2013-11
猩红热,115.0,0.0,2013-11
布鲁氏菌病,4.0,0.0,2013-11
淋病,1336.0,0.0,2013-11
梅毒,2765.0,1.0,2013-11
钩端螺旋体病,0.0,0.0,2013-11
血吸虫病,1.0,0.0,2013-11
疟疾,7.0,0.0,2013-11
人感染H7N9禽流感,2.0,1.0,2013-11
丙类传染病合计,26347.0,1.0,2013-11
流行性感冒,307.0,0.0,2013-11
流行性腮腺炎,701.0,0.0,2013-11
风疹,30.0,0.0,2013-11
急性出血性结膜炎,83.0,0.0,2013-11
麻风病,0.0,0.0,2013-11
斑疹伤寒,0.0,0.0,2013-11
黑热病,0.0,0.0,2013-11
包虫病,1.0,0.0,2013-11
丝虫病,0.0,0.0,2013-11
其它感染性腹泻病,17965.0,0.0,2013-11
手足口病,7260.0,1.0,2013-11
甲乙丙类总计,36763.0,35.0,2013-12
甲乙类传染病合计,8981.0,34.0,2013-12
鼠疫,0.0,0.0,2013-12
霍乱,0.0,0.0,2013-12
传染性非典型肺炎,0.0,0.0,2013-12
艾滋病,144.0,18.0,2013-12
病毒性肝炎,1713.0,0.0,2013-12
甲型肝炎,22.0,0.0,2013-12
乙型肝炎,1214.0,0.0,2013-12
丙型肝炎,205.0,0.0,2013-12
戊型肝炎,138.0,0.0,2013-12
肝炎未分型,134.0,0.0,2013-12
脊髓灰质炎,0.0,0.0,2013-12
人感染高致病性禽流感,0.0,0.0,2013-12
麻疹,12.0,0.0,2013-12
流行性出血热,51.0,0.0,2013-12
狂犬病,0.0,1.0,2013-12
流行性乙型脑炎,0.0,0.0,2013-12
登革热,0.0,0.0,2013-12
炭疽,0.0,0.0,2013-12
细菌性和阿米巴性痢疾,137.0,0.0,2013-12
肺结核,2866.0,15.0,2013-12
伤寒与副伤寒,31.0,0.0,2013-12
流行性脑脊髓膜炎,1.0,0.0,2013-12
百日咳,2.0,0.0,2013-12
白喉,0.0,0.0,2013-12
新生儿破伤风,3.0,0.0,2013-12
猩红热,155.0,0.0,2013-12
布鲁氏菌病,4.0,0.0,2013-12
淋病,1396.0,0.0,2013-12
梅毒,2453.0,0.0,2013-12
钩端螺旋体病,0.0,0.0,2013-12
血吸虫病,4.0,0.0,2013-12
疟疾,8.0,0.0,2013-12
人感染H7N9禽流感,1.0,0.0,2013-12
丙类传染病合计,27782.0,1.0,2013-12
流行性感冒,1389.0,0.0,2013-12
流行性腮腺炎,615.0,0.0,2013-12
风疹,41.0,0.0,2013-12
急性出血性结膜炎,106.0,0.0,2013-12
麻风病,0.0,0.0,2013-12
斑疹伤寒,0.0,0.0,2013-12
黑热病,0.0,0.0,2013-12
包虫病,0.0,0.0,2013-12
丝虫病,0.0,0.0,2013-12
其它感染性腹泻病,17908.0,0.0,2013-12
手足口病,7723.0,1.0,2013-12
甲乙丙类总计,16878.0,11.0,2013-2
甲乙类传染病合计,7073.0,11.0,2013-2
鼠疫,0.0,0.0,2013-2
霍乱,0.0,0.0,2013-2
传染性非典型肺炎,0.0,0.0,2013-2
艾滋病,58.0,9.0,2013-2
病毒性肝炎,1600.0,0.0,2013-2
甲型肝炎,28.0,0.0,2013-2
乙型肝炎,1057.0,0.0,2013-2
丙型肝炎,149.0,0.0,2013-2
戊型肝炎,230.0,0.0,2013-2
肝炎未分型,136.0,0.0,2013-2
脊髓灰质炎,0.0,0.0,2013-2
人感染高致病性禽流感,0.0,0.0,2013-2
甲型H1N1流感,37.0,0.0,2013-2
麻疹,51.0,0.0,2013-2
流行性出血热,35.0,0.0,2013-2
狂犬病,0.0,0.0,2013-2
流行性乙型脑炎,0.0,0.0,2013-2
登革热,0.0,0.0,2013-2
炭疽,0.0,0.0,2013-2
细菌性和阿米巴性痢疾,146.0,0.0,2013-2
肺结核,2378.0,2.0,2013-2
伤寒与副伤寒,30.0,0.0,2013-2
流行性脑脊髓膜炎,0.0,0.0,2013-2
百日咳,2.0,0.0,2013-2
白喉,0.0,0.0,2013-2
新生儿破伤风,2.0,0.0,2013-2
猩红热,52.0,0.0,2013-2
布鲁氏菌病,6.0,0.0,2013-2
