0,1,2
疾病病种,本期发病数,本期死亡数
甲乙丙类总计,245638,128
甲乙类合计,88485,128
鼠疫,0,0
霍乱,0,0
传染性非典,0,0
艾滋病,378,81
肝炎,25280,19
甲肝,120,0
乙肝,22245,3
丙肝,2580,16
丁肝,6,0
戊肝,258,0
肝炎（未分型）,71,0
脊灰,0,0
人感染高致病性禽流感,0,0
麻疹,14,0
出血热,9,0
狂犬病,2,2
乙脑,0,0
登革热,650,0
炭疽,0,0
痢疾,60,0
肺结核,5543,25
伤寒+副伤寒,94,0
流脑,0,0
百日咳,910,0
白喉,0,0
新生儿破伤风,0,0
猩红热,110,0
布病,51,0
淋病,2272,0
梅毒,7103,1
钩体病,22,0
血吸虫病,0,0
疟疾,12,0
人感染H7N9禽流感,0,0
新冠病毒感染,45975,0
丙类合计,157153,0
流行性感冒,92989,0
流行性腮腺炎,1123,0
风疹,7,0
急性出血性结膜炎,30882,0
麻风病,4,0
斑疹伤寒,26,0
黑热病,0,0
包虫病,0,0
丝虫病,0,0
其它感染性腹泻病,19246,0
手足口病,12876,0
