0,1,2
疾病病种,本期发病数,本期死亡数
甲乙丙类总计,214343,163
甲乙类合计,60672,162
鼠疫,0,0
霍乱,0,0
传染性非典,0,0
艾滋病,363,125
肝炎,25460,18
甲肝,136,0
乙肝,22456,3
丙肝,2498,15
丁肝,6,0
戊肝,274,0
肝炎（未分型）,90,0
脊灰,0,0
人感染高致病性禽流感,0,0
麻疹,20,0
出血热,7,0
狂犬病,1,1
乙脑,0,0
登革热,2037,0
炭疽,0,0
痢疾,63,0
肺结核,5466,17
伤寒+副伤寒,82,1
流脑,0,0
百日咳,907,0
白喉,0,0
新生儿破伤风,1,0
猩红热,160,0
布病,33,0
淋病,2293,0
梅毒,7185,0
钩体病,11,0
血吸虫病,0,0
疟疾,16,0
人感染H7N9禽流感,0,0
新冠病毒感染,16550,0
猴痘,17,0
丙类合计,153671,1
流行性感冒,108641,1
流行性腮腺炎,959,0
风疹,11,0
急性出血性结膜炎,10376,0
麻风病,2,0
斑疹伤寒,20,0
黑热病,0,0
包虫病,0,0
丝虫病,0,0
其它感染性腹泻病,17335,0
手足口病,16327,0
