0,1,2
疾病病种,本期发病数,本期死亡数
甲乙丙类总计,452334,219
甲乙类合计,39883,218
鼠疫,0,0
霍乱,0,0
传染性非典,0,0
艾滋病,507,164
肝炎,22198,36
甲肝,144,0
乙肝,19601,5
丙肝,2093,31
丁肝,6,0
戊肝,303,0
肝炎（未分型）,51,0
脊灰,0,0
人感染高致病性禽流感,0,0
麻疹,14,0
出血热,11,0
狂犬病,1,1
乙脑,1,0
登革热,109,0
炭疽,0,0
痢疾,32,0
肺结核,4583,17
伤寒+副伤寒,46,0
流脑,0,0
百日咳,2327,0
白喉,0,0
新生儿破伤风,0,0
猩红热,637,0
布病,30,0
淋病,2085,0
梅毒,6236,0
钩体病,6,0
血吸虫病,0,0
疟疾,14,0
人感染H7N9禽流感,0,0
新冠病毒感染,1033,0
猴痘,13,0
丙类合计,412451,1
流行性感冒,388797,1
流行性腮腺炎,780,0
风疹,19,0
急性出血性结膜炎,1255,0
麻风病,1,0
斑疹伤寒,15,0
黑热病,0,0
包虫病,1,0
丝虫病,0,0
其它感染性腹泻病,12068,0
手足口病,9515,0
