0,1,2
病名,发病数,死亡数
甲乙丙类总计,11399,63
甲乙类总计,9970,63
鼠疫,0,0
霍乱,0,0
传染性非典型肺炎,0,0
艾滋病,203,58
病毒性肝炎,3732,2
甲肝,36,0
乙肝,3020,0
丙肝,654,2
丁肝,0,0
戊肝,19,0
肝炎（未分型）,3,0
脊髓灰质炎,0,0
人感染高致病性禽流感,0,0
麻疹,1,0
出血热,0,0
狂犬病,0,0
流行性乙型脑炎,0,0
登革热,0,0
炭疽,0,0
细菌性和阿米巴性痢疾,43,0
肺结核,3372,3
伤寒+副伤寒,2,0
流行性脑脊髓膜炎,0,0
百日咳,0,0
白喉,0,0
新生儿破伤风,0,0
猩红热,18,0
布病,316,0
淋病,91,0
梅毒,2192,0
钩端螺旋体病,0,0
血吸虫病,0,0
疟疾,0,0
人感染H7N9禽流感,0,0
新型冠状病毒肺炎,0,0
丙类传染病合计,1429,0
流行性感冒,65,0
流行性腮腺炎,166,0
风疹,2,0
急性出血性结膜炎,0,0
麻风病,1,0
斑疹伤寒,0,0
黑热病,1,0
包虫病,115,0
丝虫病,0,0
其他感染性腹泻病,1061,0
手足口病,18,0
