0,1,2,3
"病
名",发病数,死亡数,
甲乙丙类总计,11593,65,
甲乙类总计,10130,65,
鼠疫,0,0,
霍乱,0,0,
传染性非典型肺炎,0,0,
艾滋病,118,60,
病毒性肝炎,3176,1,
甲肝,26,0,
乙肝,2494,1,
丙肝,632,0,
丁肝,2,0,
戊肝,14,0,
肝炎（未分型）,8,0,
脊髓灰质炎,0,0,
人感染高致病性禽流感,0,0,
麻疹,0,0,
出血热,0,0,
狂犬病,0,0,
流行性乙型脑炎,0,0,
登革热,0,0,
炭疽,3,0,
细菌性和阿米巴性痢疾,48,0,
肺结核,4177,4,
伤寒+副伤寒,5,0,
流行性脑脊髓膜炎,0,0,
百日咳,0,0,
白喉,0,0,
新生儿破伤风,0,0,
猩红热,20,0,
布病,428,0,
淋病,89,0,
梅毒,2066,0,
钩端螺旋体病,0,0,
血吸虫病,0,0,
疟疾,0,0,
人感染H7N9禽流感,0,0,
新型冠状病毒肺炎,0,0,
丙类传染病合计,1463,0,
流行性感冒,72,0,
流行性腮腺炎,187,0,
风疹,0,0,
急性出血性结膜炎,1,0,
麻风病,0,0,
斑疹伤寒,0,0,
黑热病,0,0,
包虫病,76,0,
丝虫病,0,0,
其他感染性腹泻病,1115,0,
手足口病,12,0,
,,,
