0,1,2,3
"病
名",发病数,死亡数,
甲乙丙类总计,11936,81,
甲乙类总计,9655,81,
鼠疫,0,0,
霍乱,0,0,
传染性非典型肺炎,0,0,
艾滋病,165,69,
病毒性肝炎,3389,3,
甲肝,27,0,
乙肝,2695,1,
丙肝,641,2,
丁肝,2,0,
戊肝,15,0,
肝炎（未分型）,9,0,
脊髓灰质炎,0,0,
人感染高致病性禽流感,0,0,
麻疹,0,0,
出血热,2,0,
狂犬病,0,0,
流行性乙型脑炎,0,0,
登革热,0,0,
炭疽,0,0,
细菌性和阿米巴性痢疾,76,0,
肺结核,3257,9,
伤寒+副伤寒,6,0,
流行性脑脊髓膜炎,0,0,
百日咳,0,0,
白喉,0,0,
新生儿破伤风,0,0,
猩红热,34,0,
布病,577,0,
淋病,89,0,
梅毒,2060,0,
钩端螺旋体病,0,0,
血吸虫病,0,0,
疟疾,0,0,
人感染H7N9禽流感,0,0,
新型冠状病毒肺炎,0,0,
丙类传染病合计,2281,0,
流行性感冒,94,0,
流行性腮腺炎,254,0,
风疹,3,0,
急性出血性结膜炎,2,0,
麻风病,0,0,
斑疹伤寒,0,0,
黑热病,0,0,
包虫病,89,0,
丝虫病,0,0,
其他感染性腹泻病,1799,0,
手足口病,40,0,
,,,
