0,1,2
病名,发病数,死亡数
甲、乙、丙类合计,15868,56
甲、乙类合计,13256,56
鼠疫,0,0
霍乱,0,0
传染性非典型肺炎,0,0
艾滋病,133,45
病毒性肝炎,3892,2
甲肝,12,0
乙肝,3052,0
丙肝,806,2
丁肝,1,0
戊肝,15,0
肝炎(未分型),6,0
脊髓灰质炎,0,0
人感染高致病性禽流感,0,0
麻疹,0,0
出血热,0,0
狂犬病,0,0
流行性乙型脑炎,0,0
登革热,0,0
炭疽,1,0
细菌性和阿米巴性痢疾,102,0
肺结核,2048,9
伤寒+副伤寒,7,0
流行性脑脊髓膜炎,0,0
百日咳,1,0
白喉,0,0
新生儿破伤风,0,0
猩红热,62,0
布病,1243,0
淋病,102,0
梅毒,2882,0
钩端螺旋体病,0,0
血吸虫病,0,0
疟疾,0,0
人感染H7N9禽流感,0,0
新型冠状病毒感染,2783,0
丙类合计,2612,0
流行性感冒,282,0
流行性腮腺炎,158,0
风疹,1,0
急性出血性结膜炎,1,0
麻风病,2,0
斑疹伤寒,1,0
黑热病,0,0
包虫病,120,0
丝虫病,0,0
其它感染性腹泻,1678,0
手足口病,369,0
