"","date","value","disease_1","disease","source"
"1",2023-03-01,122646,"其它感染性腹泻病","Other infectious diarrhea","Monthly Notifiable Infectious Diseases Reports"
"2",2023-03-01,81,"麻疹",NA,"Monthly Notifiable Infectious Diseases Reports"
"3",2023-02-01,96292,"其它感染性腹泻病","Other infectious diarrhea","Monthly Notifiable Infectious Diseases Reports"
"4",2023-02-01,53,"麻疹",NA,"Monthly Notifiable Infectious Diseases Reports"
"5",2023-01-01,42950,"其它感染性腹泻病","Other infectious diarrhea","Monthly Notifiable Infectious Diseases Reports"
"6",2023-01-01,18,"麻疹",NA,"Monthly Notifiable Infectious Diseases Reports"
"7",2022-12-01,29010,"其它感染性腹泻病","Other infectious diarrhea","Monthly Notifiable Infectious Diseases Reports"
"8",2022-12-01,79,"麻疹",NA,"Monthly Notifiable Infectious Diseases Reports"
"9",2022-11-01,50972,"其它感染性腹泻病","Other infectious diarrhea","Monthly Notifiable Infectious Diseases Reports"
"10",2022-11-01,82,"麻疹",NA,"Monthly Notifiable Infectious Diseases Reports"
"11",2022-10-01,61743,"其它感染性腹泻病","Other infectious diarrhea","Monthly Notifiable Infectious Diseases Reports"
"12",2022-10-01,111,"麻疹",NA,"Monthly Notifiable Infectious Diseases Reports"
"13",2022-09-01,76490,"其它感染性腹泻病","Other infectious diarrhea","Monthly Notifiable Infectious Diseases Reports"
"14",2022-09-01,78,"麻疹",NA,"Monthly Notifiable Infectious Diseases Reports"
"15",2022-08-01,100107,"其它感染性腹泻病","Other infectious diarrhea","Monthly Notifiable Infectious Diseases Reports"
"16",2022-08-01,112,"麻疹",NA,"Monthly Notifiable Infectious Diseases Reports"
"17",2022-07-01,103468,"其它感染性腹泻病","Other infectious diarrhea","Monthly Notifiable Infectious Diseases Reports"
"18",2022-07-01,92,"麻疹",NA,"Monthly Notifiable Infectious Diseases Reports"
"19",2022-06-01,95012,"其它感染性腹泻病","Other infectious diarrhea","Monthly Notifiable Infectious Diseases Reports"
"20",2022-06-01,110,"麻疹",NA,"Monthly Notifiable Infectious Diseases Reports"
"21",2022-05-01,82369,"其它感染性腹泻病","Other infectious diarrhea","Monthly Notifiable Infectious Diseases Reports"
"22",2022-05-01,110,"麻疹",NA,"Monthly Notifiable Infectious Diseases Reports"
"23",2022-04-01,74986,"其它感染性腹泻病","Other infectious diarrhea","Monthly Notifiable Infectious Diseases Reports"
"24",2022-04-01,52,"麻疹",NA,"Monthly Notifiable Infectious Diseases Reports"
"25",2022-03-01,122555,"其它感染性腹泻病","Other infectious diarrhea","Monthly Notifiable Infectious Diseases Reports"
"26",2022-03-01,71,"麻疹",NA,"Monthly Notifiable Infectious Diseases Reports"
"27",2022-02-01,92535,"其它感染性腹泻病","Other infectious diarrhea","Monthly Notifiable Infectious Diseases Reports"
"28",2022-02-01,44,"麻疹",NA,"Monthly Notifiable Infectious Diseases Reports"
"29",2022-01-01,80364,"其它感染性腹泻病","Other infectious diarrhea","Monthly Notifiable Infectious Diseases Reports"
"30",2022-01-01,40,"麻疹",NA,"Monthly Notifiable Infectious Diseases Reports"
"31",2021-12-01,82512,"其它感染性腹泻病","Other infectious diarrhea","Monthly Notifiable Infectious Diseases Reports"
"32",2021-12-01,97,"麻疹",NA,"Monthly Notifiable Infectious Diseases Reports"
"33",2021-11-01,64241,"其它感染性腹泻病","Other infectious diarrhea","Monthly Notifiable Infectious Diseases Reports"
"34",2021-11-01,105,"麻疹",NA,"Monthly Notifiable Infectious Diseases Reports"
"35",2021-10-01,74343,"其它感染性腹泻病","Other infectious diarrhea","Monthly Notifiable Infectious Diseases Reports"
"36",2021-10-01,88,"麻疹",NA,"Monthly Notifiable Infectious Diseases Reports"
"37",2021-09-01,90862,"其它感染性腹泻病","Other infectious diarrhea","Monthly Notifiable Infectious Diseases Reports"
"38",2021-09-01,85,"麻疹",NA,"Monthly Notifiable Infectious Diseases Reports"
"39",2021-08-01,103609,"其它感染性腹泻病","Other infectious diarrhea","Monthly Notifiable Infectious Diseases Reports"
"40",2021-08-01,66,"麻疹",NA,"Monthly Notifiable Infectious Diseases Reports"
"41",2021-07-01,123462,"其它感染性腹泻病","Other infectious diarrhea","Monthly Notifiable Infectious Diseases Reports"
"42",2021-07-01,80,"麻疹",NA,"Monthly Notifiable Infectious Diseases Reports"
"43",2021-06-01,117015,"其它感染性腹泻病","Other infectious diarrhea","Monthly Notifiable Infectious Diseases Reports"
"44",2021-06-01,72,"麻疹",NA,"Monthly Notifiable Infectious Diseases Reports"
"45",2021-05-01,112075,"其它感染性腹泻病","Other infectious diarrhea","Monthly Notifiable Infectious Diseases Reports"
"46",2021-05-01,80,"麻疹",NA,"Monthly Notifiable Infectious Diseases Reports"
"47",2021-04-01,110751,"其它感染性腹泻病","Other infectious diarrhea","Monthly Notifiable Infectious Diseases Reports"
"48",2021-04-01,69,"麻疹",NA,"Monthly Notifiable Infectious Diseases Reports"
"52",2008-01-01,9002,"丙肝","HCV","Monthly Notifiable Infectious Diseases Reports"
"53",2008-01-01,104564,"乙肝","HBV","Monthly Notifiable Infectious Diseases Reports"
"56",2008-01-01,723,"伤寒+副伤寒","Typhoid and paratyphoid fever","Monthly Notifiable Infectious Diseases Reports"
"57",2021-03-01,141593,"其它感染性腹泻病","Other infectious diarrhea","Monthly Notifiable Infectious Diseases Reports"
"58",2008-01-01,675,"流行性出血热","HFRS","Monthly Notifiable Infectious Diseases Reports"
"60",2008-01-01,251,"包虫病","Hydatidosis","Monthly Notifiable Infectious Diseases Reports"
"61",2008-01-01,1743,"布病","Brucellosis","Monthly Notifiable Infectious Diseases Reports"
"62",2008-01-01,650,"急性出血性结膜炎","AHC","Monthly Notifiable Infectious Diseases Reports"
"64",2008-01-01,1843,"戊肝","HEV","Monthly Notifiable Infectious Diseases Reports"
