0,1,2
病名,发病数,死亡数
甲乙丙类总计,8632,110
甲乙类,6612,110
鼠疫,0,0
霍乱,0,0
传染性非典,0,0
艾滋病,183,101
肝炎,2087,1
甲肝,36,0
乙肝,1537,1
丙肝,432,0
丁肝,0,0
戊肝,76,0
肝炎（未分型）,6,0
脊灰,0,0
人感染高致病性禽流感,0,0
麻疹,2,0
出血热,2,0
狂犬病,0,0
乙脑,0,0
登革热,2,0
炭疽,0,0
痢疾,144,0
肺结核,2389,8
伤寒+副伤寒,0,0
流脑,0,0
百日咳,50,0
白喉,0,0
新生儿破伤风,0,0
猩红热,6,0
布病,8,0
淋病,96,0
梅毒,1640,0
钩体病,0,0
血吸虫病,0,0
疟疾,0,0
人感染H7N9禽流感,0,0
新型冠状病毒肺炎,3,0
丙类传染病合计,2020,0
流行性感冒,518,0
流行性腮腺炎,167,0
风疹,14,0
急性出血性结膜炎,73,0
麻风病,2,0
斑疹伤寒,0,0
黑热病,0,0
包虫病,0,0
丝虫病,0,0
其它感染性腹泻病,1133,0
手足口病,113,0
水痘,398,0
