中文解释,链接,Referer,年份,月份
2023年12月重庆市法定传染病疫情概况,./202401/t20240109_12804106.html,https://wsjkw.cq.gov.cn/zwgk_242/wsjklymsxx/ylws_266434/jbfk_266438/yqxxttps://wsjkw.cq.gov.cn/zwgk_242/wsjklymsxx/ylws_266434/jbfk_266438/yqxx/index.html,2023,12
2023年11月重庆市法定传染病疫情概况,./202312/t20231214_12705785.html,https://wsjkw.cq.gov.cn/zwgk_242/wsjklymsxx/ylws_266434/jbfk_266438/yqxxttps://wsjkw.cq.gov.cn/zwgk_242/wsjklymsxx/ylws_266434/jbfk_266438/yqxx/index.html,2023,11
2023年9月重庆市法定传染病疫情概况,./202310/t20231017_12439014.html,https://wsjkw.cq.gov.cn/zwgk_242/wsjklymsxx/ylws_266434/jbfk_266438/yqxxttps://wsjkw.cq.gov.cn/zwgk_242/wsjklymsxx/ylws_266434/jbfk_266438/yqxx/index.html,2023,9
2023年8月重庆市法定传染病疫情概况,./202309/t20230905_12307768.html,https://wsjkw.cq.gov.cn/zwgk_242/wsjklymsxx/ylws_266434/jbfk_266438/yqxxttps://wsjkw.cq.gov.cn/zwgk_242/wsjklymsxx/ylws_266434/jbfk_266438/yqxx/index.html,2023,8
2023年7月重庆市法定传染病疫情概况,./202308/t20230808_12221568.html,https://wsjkw.cq.gov.cn/zwgk_242/wsjklymsxx/ylws_266434/jbfk_266438/yqxxttps://wsjkw.cq.gov.cn/zwgk_242/wsjklymsxx/ylws_266434/jbfk_266438/yqxx/index.html,2023,7
2023年6月重庆市法定传染病疫情概况,./202307/t20230717_12155072.html,https://wsjkw.cq.gov.cn/zwgk_242/wsjklymsxx/ylws_266434/jbfk_266438/yqxxttps://wsjkw.cq.gov.cn/zwgk_242/wsjklymsxx/ylws_266434/jbfk_266438/yqxx/index.html,2023,6
2023年5月重庆市法定传染病疫情概况,./202306/t20230606_12037608.html,https://wsjkw.cq.gov.cn/zwgk_242/wsjklymsxx/ylws_266434/jbfk_266438/yqxxttps://wsjkw.cq.gov.cn/zwgk_242/wsjklymsxx/ylws_266434/jbfk_266438/yqxx/index.html,2023,5
2023年4月重庆市法定传染病疫情概况,./202305/t20230512_11959105.html,https://wsjkw.cq.gov.cn/zwgk_242/wsjklymsxx/ylws_266434/jbfk_266438/yqxxttps://wsjkw.cq.gov.cn/zwgk_242/wsjklymsxx/ylws_266434/jbfk_266438/yqxx/index.html,2023,4
2023年3月重庆市法定传染病疫情概况,./202304/t20230417_11885155.html,https://wsjkw.cq.gov.cn/zwgk_242/wsjklymsxx/ylws_266434/jbfk_266438/yqxxttps://wsjkw.cq.gov.cn/zwgk_242/wsjklymsxx/ylws_266434/jbfk_266438/yqxx/index.html,2023,3
2023年2月重庆市法定传染病疫情概况,./202303/t20230313_11752104.html,https://wsjkw.cq.gov.cn/zwgk_242/wsjklymsxx/ylws_266434/jbfk_266438/yqxxttps://wsjkw.cq.gov.cn/zwgk_242/wsjklymsxx/ylws_266434/jbfk_266438/yqxx/index.html,2023,2
2023年1月重庆市法定传染病疫情概况,./202302/t20230214_11604266.html,https://wsjkw.cq.gov.cn/zwgk_242/wsjklymsxx/ylws_266434/jbfk_266438/yqxxttps://wsjkw.cq.gov.cn/zwgk_242/wsjklymsxx/ylws_266434/jbfk_266438/yqxx/index.html,2023,1
2022年11月重庆市法定传染病疫情概况,./202212/t20221217_11398586.html,https://wsjkw.cq.gov.cn/zwgk_242/wsjklymsxx/ylws_266434/jbfk_266438/yqxxttps://wsjkw.cq.gov.cn/zwgk_242/wsjklymsxx/ylws_266434/jbfk_266438/yqxx/index.html,2022,11
2022年10月重庆市法定传染病疫情概况,./202211/t20221108_11276256.html,https://wsjkw.cq.gov.cn/zwgk_242/wsjklymsxx/ylws_266434/jbfk_266438/yqxxttps://wsjkw.cq.gov.cn/zwgk_242/wsjklymsxx/ylws_266434/jbfk_266438/yqxx/index.html,2022,10
2022年9月重庆市法定传染病疫情概况,./202210/t20221011_11179598.html,https://wsjkw.cq.gov.cn/zwgk_242/wsjklymsxx/ylws_266434/jbfk_266438/yqxxttps://wsjkw.cq.gov.cn/zwgk_242/wsjklymsxx/ylws_266434/jbfk_266438/yqxx/index.html,2022,9
2022年8月重庆市法定传染病疫情概况,./202209/t20220907_11086909.html,https://wsjkw.cq.gov.cn/zwgk_242/wsjklymsxx/ylws_266434/jbfk_266438/yqxxttps://wsjkw.cq.gov.cn/zwgk_242/wsjklymsxx/ylws_266434/jbfk_266438/yqxx/index.html,2022,8
2022年7月重庆市法定传染病疫情概况,./202208/t20220811_10995646.html,https://wsjkw.cq.gov.cn/zwgk_242/wsjklymsxx/ylws_266434/jbfk_266438/yqxxttps://wsjkw.cq.gov.cn/zwgk_242/wsjklymsxx/ylws_266434/jbfk_266438/yqxx/index_1.html,2022,7
2022年6月重庆市法定传染病疫情概况,./202207/t20220708_10900553.html,https://wsjkw.cq.gov.cn/zwgk_242/wsjklymsxx/ylws_266434/jbfk_266438/yqxxttps://wsjkw.cq.gov.cn/zwgk_242/wsjklymsxx/ylws_266434/jbfk_266438/yqxx/index_1.html,2022,6
2022年5月重庆市法定传染病疫情概况,./202206/t20220608_10788860.html,https://wsjkw.cq.gov.cn/zwgk_242/wsjklymsxx/ylws_266434/jbfk_266438/yqxxttps://wsjkw.cq.gov.cn/zwgk_242/wsjklymsxx/ylws_266434/jbfk_266438/yqxx/index_1.html,2022,5
2022年4月重庆市法定传染病疫情概况,./202205/t20220511_10706337.html,https://wsjkw.cq.gov.cn/zwgk_242/wsjklymsxx/ylws_266434/jbfk_266438/yqxxttps://wsjkw.cq.gov.cn/zwgk_242/wsjklymsxx/ylws_266434/jbfk_266438/yqxx/index_1.html,2022,4
2022年3月重庆市法定传染病疫情概况,./202204/t20220411_10606283.html,https://wsjkw.cq.gov.cn/zwgk_242/wsjklymsxx/ylws_266434/jbfk_266438/yqxxttps://wsjkw.cq.gov.cn/zwgk_242/wsjklymsxx/ylws_266434/jbfk_266438/yqxx/index_1.html,2022,3
2022年2月重庆市法定传染病疫情概况,./202203/t20220310_10485066.html,https://wsjkw.cq.gov.cn/zwgk_242/wsjklymsxx/ylws_266434/jbfk_266438/yqxxttps://wsjkw.cq.gov.cn/zwgk_242/wsjklymsxx/ylws_266434/jbfk_266438/yqxx/index_1.html,2022,2
2022年1月重庆市法定传染病疫情概况,./202202/t20220214_10388164.html,https://wsjkw.cq.gov.cn/zwgk_242/wsjklymsxx/ylws_266434/jbfk_266438/yqxxttps://wsjkw.cq.gov.cn/zwgk_242/wsjklymsxx/ylws_266434/jbfk_266438/yqxx/index_1.html,2022,1
2021年12月重庆市法定传染病疫情概况,./202201/t20220113_10301402.html,https://wsjkw.cq.gov.cn/zwgk_242/wsjklymsxx/ylws_266434/jbfk_266438/yqxxttps://wsjkw.cq.gov.cn/zwgk_242/wsjklymsxx/ylws_266434/jbfk_266438/yqxx/index_1.html,2021,12
2021年11月重庆市法定传染病疫情概况,./202112/t20211213_10151796.html,https://wsjkw.cq.gov.cn/zwgk_242/wsjklymsxx/ylws_266434/jbfk_266438/yqxxttps://wsjkw.cq.gov.cn/zwgk_242/wsjklymsxx/ylws_266434/jbfk_266438/yqxx/index_1.html,2021,11
2021年10月重庆市法定传染病疫情信息公布,./202112/t20211209_10113626.html,https://wsjkw.cq.gov.cn/zwgk_242/wsjklymsxx/ylws_266434/jbfk_266438/yqxxttps://wsjkw.cq.gov.cn/zwgk_242/wsjklymsxx/ylws_266434/jbfk_266438/yqxx/index_1.html,2021,10
2021年9月重庆市法定传染病疫情信息公布,./202112/t20211209_10113610.html,https://wsjkw.cq.gov.cn/zwgk_242/wsjklymsxx/ylws_266434/jbfk_266438/yqxxttps://wsjkw.cq.gov.cn/zwgk_242/wsjklymsxx/ylws_266434/jbfk_266438/yqxx/index_1.html,2021,9
2021年8月重庆市法定传染病疫情概况,./202112/t20211209_10113596.html,https://wsjkw.cq.gov.cn/zwgk_242/wsjklymsxx/ylws_266434/jbfk_266438/yqxxttps://wsjkw.cq.gov.cn/zwgk_242/wsjklymsxx/ylws_266434/jbfk_266438/yqxx/index_1.html,2021,8
2021年7月重庆市法定传染病疫情概况,./202112/t20211209_10113585.html,https://wsjkw.cq.gov.cn/zwgk_242/wsjklymsxx/ylws_266434/jbfk_266438/yqxxttps://wsjkw.cq.gov.cn/zwgk_242/wsjklymsxx/ylws_266434/jbfk_266438/yqxx/index_1.html,2021,7
2021年6月重庆市法定传染病疫情概况,./202112/t20211209_10113573.html,https://wsjkw.cq.gov.cn/zwgk_242/wsjklymsxx/ylws_266434/jbfk_266438/yqxxttps://wsjkw.cq.gov.cn/zwgk_242/wsjklymsxx/ylws_266434/jbfk_266438/yqxx/index_1.html,2021,6
2021年5月重庆市法定传染病疫情概况,./202112/t20211209_10113562.html,https://wsjkw.cq.gov.cn/zwgk_242/wsjklymsxx/ylws_266434/jbfk_266438/yqxxttps://wsjkw.cq.gov.cn/zwgk_242/wsjklymsxx/ylws_266434/jbfk_266438/yqxx/index_1.html,2021,5
2021年4月重庆市法定传染病疫情概况,./202112/t20211209_10113550.html,https://wsjkw.cq.gov.cn/zwgk_242/wsjklymsxx/ylws_266434/jbfk_266438/yqxxttps://wsjkw.cq.gov.cn/zwgk_242/wsjklymsxx/ylws_266434/jbfk_266438/yqxx/index_2.html,2021,4
2021年3月重庆市法定传染病疫情概况,./202112/t20211209_10113534.html,https://wsjkw.cq.gov.cn/zwgk_242/wsjklymsxx/ylws_266434/jbfk_266438/yqxxttps://wsjkw.cq.gov.cn/zwgk_242/wsjklymsxx/ylws_266434/jbfk_266438/yqxx/index_2.html,2021,3
2021年2月重庆市法定传染病疫情概况,./202112/t20211209_10113521.html,https://wsjkw.cq.gov.cn/zwgk_242/wsjklymsxx/ylws_266434/jbfk_266438/yqxxttps://wsjkw.cq.gov.cn/zwgk_242/wsjklymsxx/ylws_266434/jbfk_266438/yqxx/index_2.html,2021,2
2021年1月重庆市法定传染病疫情概况,./202112/t20211209_10113505.html,https://wsjkw.cq.gov.cn/zwgk_242/wsjklymsxx/ylws_266434/jbfk_266438/yqxxttps://wsjkw.cq.gov.cn/zwgk_242/wsjklymsxx/ylws_266434/jbfk_266438/yqxx/index_2.html,2021,1
2020年12月重庆市法定传染病疫情概况,./202112/t20211209_10113496.html,https://wsjkw.cq.gov.cn/zwgk_242/wsjklymsxx/ylws_266434/jbfk_266438/yqxxttps://wsjkw.cq.gov.cn/zwgk_242/wsjklymsxx/ylws_266434/jbfk_266438/yqxx/index_2.html,2020,12
2020年11月重庆市法定传染病疫情概况,./202112/t20211209_10113484.html,https://wsjkw.cq.gov.cn/zwgk_242/wsjklymsxx/ylws_266434/jbfk_266438/yqxxttps://wsjkw.cq.gov.cn/zwgk_242/wsjklymsxx/ylws_266434/jbfk_266438/yqxx/index_2.html,2020,11
2020年10月重庆市法定传染病疫情概况,./202112/t20211209_10113478.html,https://wsjkw.cq.gov.cn/zwgk_242/wsjklymsxx/ylws_266434/jbfk_266438/yqxxttps://wsjkw.cq.gov.cn/zwgk_242/wsjklymsxx/ylws_266434/jbfk_266438/yqxx/index_2.html,2020,10
2020年9月重庆市法定传染病疫情概况,./202112/t20211209_10113454.html,https://wsjkw.cq.gov.cn/zwgk_242/wsjklymsxx/ylws_266434/jbfk_266438/yqxxttps://wsjkw.cq.gov.cn/zwgk_242/wsjklymsxx/ylws_266434/jbfk_266438/yqxx/index_2.html,2020,9
2020年8月重庆市法定传染病疫情概况,./202112/t20211209_10113441.html,https://wsjkw.cq.gov.cn/zwgk_242/wsjklymsxx/ylws_266434/jbfk_266438/yqxxttps://wsjkw.cq.gov.cn/zwgk_242/wsjklymsxx/ylws_266434/jbfk_266438/yqxx/index_2.html,2020,8
2020年7月重庆市法定传染病疫情概况,./202112/t20211209_10113423.html,https://wsjkw.cq.gov.cn/zwgk_242/wsjklymsxx/ylws_266434/jbfk_266438/yqxxttps://wsjkw.cq.gov.cn/zwgk_242/wsjklymsxx/ylws_266434/jbfk_266438/yqxx/index_2.html,2020,7
2020年6月重庆市法定传染病疫情概况,./202112/t20211209_10113408.html,https://wsjkw.cq.gov.cn/zwgk_242/wsjklymsxx/ylws_266434/jbfk_266438/yqxxttps://wsjkw.cq.gov.cn/zwgk_242/wsjklymsxx/ylws_266434/jbfk_266438/yqxx/index_2.html,2020,6
2020年5月重庆市法定传染病疫情概况,./202112/t20211209_10113398.html,https://wsjkw.cq.gov.cn/zwgk_242/wsjklymsxx/ylws_266434/jbfk_266438/yqxxttps://wsjkw.cq.gov.cn/zwgk_242/wsjklymsxx/ylws_266434/jbfk_266438/yqxx/index_2.html,2020,5
2020年4月重庆市法定传染病疫情概况,./202112/t20211209_10113353.html,https://wsjkw.cq.gov.cn/zwgk_242/wsjklymsxx/ylws_266434/jbfk_266438/yqxxttps://wsjkw.cq.gov.cn/zwgk_242/wsjklymsxx/ylws_266434/jbfk_266438/yqxx/index_2.html,2020,4
2020年3月重庆市法定传染病疫情概况,./202112/t20211209_10113341.html,https://wsjkw.cq.gov.cn/zwgk_242/wsjklymsxx/ylws_266434/jbfk_266438/yqxxttps://wsjkw.cq.gov.cn/zwgk_242/wsjklymsxx/ylws_266434/jbfk_266438/yqxx/index_2.html,2020,3
