0,1,2
病名,发病数,死亡数
甲乙丙类总计,15905,121
甲乙类,14185,121
鼠疫,0,0
霍乱,0,0
传染性非典,0,0
艾滋病,82,99
肝炎,1827,0
甲肝,40,0
乙肝,1365,0
丙肝,381,0
丁肝,1,0
戊肝,39,0
肝炎（未分型）,1,0
脊灰,0,0
人感染高致病性禽流感,0,0
麻疹,2,0
出血热,0,0
狂犬病,0,0
乙脑,0,0
登革热,0,0
炭疽,0,0
痢疾,92,0
肺结核,1584,15
伤寒+副伤寒,0,0
流脑,0,0
百日咳,14,0
白喉,0,0
新生儿破伤风,0,0
猩红热,7,0
布病,3,0
淋病,147,0
梅毒,1184,0
钩体病,0,0
血吸虫病,0,0
疟疾,3,0
人感染H7N9禽流感,0,0
新型冠状病毒感染,9240,7
丙类传染病合计,1720,0
流行性感冒,383,0
流行性腮腺炎,58,0
风疹,2,0
急性出血性结膜炎,17,0
麻风病,1,0
斑疹伤寒,0,0
黑热病,0,0
包虫病,0,0
丝虫病,0,0
其它感染性腹泻病,1215,0
手足口病,44,0
水痘,279,0
