0,1,2,3
,疾病病种,发病数,死亡数
甲乙丙类,总计,13719,140
甲乙类,合计,7672,140
,鼠疫,0,0
,霍乱,0,0
,传染性非典,0,0
,艾滋病,436,132
,肝炎,2283,0
,甲肝,51,0
,乙肝,1665,0
,丙肝,502,0
,丁肝,2,0
,戊肝,54,0
,肝炎（未分型）,9,0
,脊灰,0,0
,人感染高致病性禽流感,0,0
,麻疹,2,0
,出血热,1,0
,狂犬病,0,0
,乙脑,0,0
,登革热,0,0
,炭疽,0,0
,痢疾,335,0
,肺结核,2382,7
,伤寒+副伤寒,11,0
,流脑,1,0
,百日咳,12,0
,白喉,1,0
,新生儿破伤风,0,0
,猩红热,13,0
,布病,3,0
,淋病,312,0
,梅毒,1868,1
,钩体病,11,0
,血吸虫病,0,0
,疟疾,0,0
,人感染H7N9禽流感,0,0
,新型冠状病毒肺炎,1,0
丙类,合计,6047,0
,流行性感冒,643,0
,流行性腮腺炎,456,0
,风疹,4,0
,急性出血性结膜炎,121,0
,麻风病,0,0
,斑疹伤寒,0,0
,黑热病,0,0
,包虫病,0,0
,丝虫病,0,0
,其它感染性腹泻病,3732,0
,手足口病,1091,0
,水痘,1271,0
