0,1,2,3
,病种,发病数,死亡数
甲乙丙类,总计,16554,86
甲乙类,合计,6715,86
,鼠疫,0,0
,霍乱,0,0
,传染性非典,0,0
,艾滋病,205,82
,肝炎,2266,0
,甲肝,55,0
,乙肝,1701,0
,丙肝,434,0
丁肝,1,0,
戊肝,68,0,
肝炎（未分型）,7,0,
脊灰,0,0,
人感染高致病性禽流感,0,0,
麻疹,4,0,
出血热,0,0,
狂犬病,0,0,
乙脑,0,0,
登革热,0,0,
炭疽,0,0,
痢疾,277,0,
肺结核,2043,4,
伤寒+副伤寒,11,0,
流脑,0,0,
百日咳,29,0,
白喉,0,0,
新生儿破伤风,0,0,
猩红热,20,0,
布病,1,0,
淋病,318,0,
梅毒,1535,0,
钩体病,1,0,
血吸虫病,0,0,
疟疾,0,0,
人感染H7N9禽流感,0,0,
新型冠状病毒肺炎,5,0,
丙类,合计,9839,0
,流行性感冒,902,0
,流行性腮腺炎,436,0
,风疹,0,0
,急性出血性结膜炎,114,0
,麻风病,0,0
,斑疹伤寒,0,0
,黑热病,1,0
,包虫病,0,0
,丝虫病,0,0
,其它感染性腹泻病,3086,0
,手足口病,5300,0
,水痘,4133,0
