疾病病种,发病数,死亡数,date,year,month,url
甲乙丙类总计,17554.0,175.0,2019-10,2019,10,https://wsjkw.cq.gov.cn/zwgk_242/wsjklymsxx/ylws_266434/jbfk_266438/yqxx/202112/t20211209_10113271.html
甲乙类,8376.0,175.0,2019-10,2019,10,https://wsjkw.cq.gov.cn/zwgk_242/wsjklymsxx/ylws_266434/jbfk_266438/yqxx/202112/t20211209_10113271.html
鼠疫,0.0,0.0,2019-10,2019,10,https://wsjkw.cq.gov.cn/zwgk_242/wsjklymsxx/ylws_266434/jbfk_266438/yqxx/202112/t20211209_10113271.html
霍乱,0.0,0.0,2019-10,2019,10,https://wsjkw.cq.gov.cn/zwgk_242/wsjklymsxx/ylws_266434/jbfk_266438/yqxx/202112/t20211209_10113271.html
传染性非典,0.0,0.0,2019-10,2019,10,https://wsjkw.cq.gov.cn/zwgk_242/wsjklymsxx/ylws_266434/jbfk_266438/yqxx/202112/t20211209_10113271.html
艾滋病,427.0,169.0,2019-10,2019,10,https://wsjkw.cq.gov.cn/zwgk_242/wsjklymsxx/ylws_266434/jbfk_266438/yqxx/202112/t20211209_10113271.html
肝炎,2410.0,0.0,2019-10,2019,10,https://wsjkw.cq.gov.cn/zwgk_242/wsjklymsxx/ylws_266434/jbfk_266438/yqxx/202112/t20211209_10113271.html
甲肝,47.0,0.0,2019-10,2019,10,https://wsjkw.cq.gov.cn/zwgk_242/wsjklymsxx/ylws_266434/jbfk_266438/yqxx/202112/t20211209_10113271.html
乙肝,1830.0,0.0,2019-10,2019,10,https://wsjkw.cq.gov.cn/zwgk_242/wsjklymsxx/ylws_266434/jbfk_266438/yqxx/202112/t20211209_10113271.html
丙肝,447.0,0.0,2019-10,2019,10,https://wsjkw.cq.gov.cn/zwgk_242/wsjklymsxx/ylws_266434/jbfk_266438/yqxx/202112/t20211209_10113271.html
丁肝,1.0,0.0,2019-10,2019,10,https://wsjkw.cq.gov.cn/zwgk_242/wsjklymsxx/ylws_266434/jbfk_266438/yqxx/202112/t20211209_10113271.html
戊肝,76.0,0.0,2019-10,2019,10,https://wsjkw.cq.gov.cn/zwgk_242/wsjklymsxx/ylws_266434/jbfk_266438/yqxx/202112/t20211209_10113271.html
肝炎（未分型）,9.0,0.0,2019-10,2019,10,https://wsjkw.cq.gov.cn/zwgk_242/wsjklymsxx/ylws_266434/jbfk_266438/yqxx/202112/t20211209_10113271.html
脊灰,0.0,0.0,2019-10,2019,10,https://wsjkw.cq.gov.cn/zwgk_242/wsjklymsxx/ylws_266434/jbfk_266438/yqxx/202112/t20211209_10113271.html
人感染高致病性禽流感,0.0,0.0,2019-10,2019,10,https://wsjkw.cq.gov.cn/zwgk_242/wsjklymsxx/ylws_266434/jbfk_266438/yqxx/202112/t20211209_10113271.html
麻疹,0.0,0.0,2019-10,2019,10,https://wsjkw.cq.gov.cn/zwgk_242/wsjklymsxx/ylws_266434/jbfk_266438/yqxx/202112/t20211209_10113271.html
出血热,0.0,0.0,2019-10,2019,10,https://wsjkw.cq.gov.cn/zwgk_242/wsjklymsxx/ylws_266434/jbfk_266438/yqxx/202112/t20211209_10113271.html
狂犬病,0.0,0.0,2019-10,2019,10,https://wsjkw.cq.gov.cn/zwgk_242/wsjklymsxx/ylws_266434/jbfk_266438/yqxx/202112/t20211209_10113271.html
乙脑,1.0,0.0,2019-10,2019,10,https://wsjkw.cq.gov.cn/zwgk_242/wsjklymsxx/ylws_266434/jbfk_266438/yqxx/202112/t20211209_10113271.html
登革热,502.0,0.0,2019-10,2019,10,https://wsjkw.cq.gov.cn/zwgk_242/wsjklymsxx/ylws_266434/jbfk_266438/yqxx/202112/t20211209_10113271.html
炭疽,0.0,0.0,2019-10,2019,10,https://wsjkw.cq.gov.cn/zwgk_242/wsjklymsxx/ylws_266434/jbfk_266438/yqxx/202112/t20211209_10113271.html
痢疾,319.0,0.0,2019-10,2019,10,https://wsjkw.cq.gov.cn/zwgk_242/wsjklymsxx/ylws_266434/jbfk_266438/yqxx/202112/t20211209_10113271.html
肺结核,2275.0,6.0,2019-10,2019,10,https://wsjkw.cq.gov.cn/zwgk_242/wsjklymsxx/ylws_266434/jbfk_266438/yqxx/202112/t20211209_10113271.html
伤寒+副伤寒,10.0,0.0,2019-10,2019,10,https://wsjkw.cq.gov.cn/zwgk_242/wsjklymsxx/ylws_266434/jbfk_266438/yqxx/202112/t20211209_10113271.html
流脑,0.0,0.0,2019-10,2019,10,https://wsjkw.cq.gov.cn/zwgk_242/wsjklymsxx/ylws_266434/jbfk_266438/yqxx/202112/t20211209_10113271.html
百日咳,87.0,0.0,2019-10,2019,10,https://wsjkw.cq.gov.cn/zwgk_242/wsjklymsxx/ylws_266434/jbfk_266438/yqxx/202112/t20211209_10113271.html
白喉,0.0,0.0,2019-10,2019,10,https://wsjkw.cq.gov.cn/zwgk_242/wsjklymsxx/ylws_266434/jbfk_266438/yqxx/202112/t20211209_10113271.html
新生儿破伤风,0.0,0.0,2019-10,2019,10,https://wsjkw.cq.gov.cn/zwgk_242/wsjklymsxx/ylws_266434/jbfk_266438/yqxx/202112/t20211209_10113271.html
猩红热,72.0,0.0,2019-10,2019,10,https://wsjkw.cq.gov.cn/zwgk_242/wsjklymsxx/ylws_266434/jbfk_266438/yqxx/202112/t20211209_10113271.html
布病,3.0,0.0,2019-10,2019,10,https://wsjkw.cq.gov.cn/zwgk_242/wsjklymsxx/ylws_266434/jbfk_266438/yqxx/202112/t20211209_10113271.html
