0,1,2
病名,发病数,死亡数
甲乙丙类总计,20292,114
甲乙类,9492,114
鼠疫,0,0
霍乱,0,0
传染性非典,0,0
艾滋病,382,101
肝炎,2977,1
甲肝,87,0
乙肝,2216,1
丙肝,530,0
丁肝,0,0
戊肝,121,0
肝炎（未分型）,23,0
脊灰,0,0
人感染高致病性禽流感,0,0
麻疹,3,0
出血热,1,0
狂犬病,3,3
乙脑,5,0
登革热,30,0
炭疽,0,0
痢疾,490,0
肺结核,2702,9
伤寒+副伤寒,17,0
流脑,0,0
百日咳,305,0
白喉,0,0
新生儿破伤风,0,0
猩红热,52,0
布病,10,0
淋病,284,0
梅毒,2229,0
钩体病,0,0
血吸虫病,0,0
疟疾,2,0
人感染H7N9禽流感,0,0
丙类传染病合计,10800,0
流行性感冒,923,0
流行性腮腺炎,454,0
风疹,317,0
急性出血性结膜炎,309,0
麻风病,0,0
斑疹伤寒,1,0
黑热病,0,0
包虫病,0,0
丝虫病,0,0
其它感染性腹泻病,2981,0
手足口病,5815,0
水痘,2964,0
