0,1,2
病名,发病数,死亡数
甲乙丙类总计,14802,126
甲乙类,8031,126
鼠疫,0,0
霍乱,0,0
传染性非典,0,0
艾滋病,336,106
肝炎,2863,2
甲肝,64,1
乙肝,2134,0
丙肝,553,1
丁肝,1,0
戊肝,107,0
肝炎（未分型）,4,0
脊灰,0,0
人感染高致病性禽流感,0,0
麻疹,0,0
出血热,0,0
狂犬病,0,0
乙脑,2,0
登革热,0,0
炭疽,0,0
痢疾,168,0
肺结核,2015,18
伤寒+副伤寒,9,0
流脑,0,0
百日咳,307,0
白喉,0,0
新生儿破伤风,0,0
猩红热,24,0
布病,2,0
淋病,248,0
梅毒,1851,0
钩体病,0,0
血吸虫病,0,0
疟疾,3,0
人感染H7N9禽流感,0,0
新型冠状病毒肺炎,203,0
丙类传染病合计,6771,0
流行性感冒,3269,0
流行性腮腺炎,253,0
风疹,2,0
急性出血性结膜炎,116,0
麻风病,1,0
斑疹伤寒,3,0
黑热病,0,0
包虫病,0,0
丝虫病,0,0
其它感染性腹泻病,2574,0
手足口病,553,0
水痘,785,0
