0,1,2
病名,发病数,死亡数
甲乙丙类总计,22696,115
甲乙类,8416,115
鼠疫,0,0
霍乱,0,0
传染性非典,0,0
艾滋病,324,98
肝炎,2573,0
甲肝,74,0
乙肝,1892,0
丙肝,488,0
丁肝,1,0
戊肝,104,0
肝炎（未分型）,14,0
脊灰,0,0
人感染高致病性禽流感,0,0
麻疹,14,0
出血热,1,0
狂犬病,0,0
乙脑,1,0
登革热,8,0
炭疽,0,0
痢疾,312,0
肺结核,2791,15
伤寒+副伤寒,6,0
流脑,0,0
百日咳,222,0
白喉,0,0
新生儿破伤风,0,0
猩红热,83,0
布病,3,0
淋病,230,0
梅毒,1844,2
钩体病,0,0
血吸虫病,0,0
疟疾,4,0
人感染H7N9禽流感,0,0
丙类传染病合计,14280,0
流行性感冒,3204,0
流行性腮腺炎,832,0
风疹,1285,0
急性出血性结膜炎,143,0
麻风病,0,0
斑疹伤寒,0,0
黑热病,0,0
包虫病,1,0
丝虫病,0,0
其它感染性腹泻病,2678,0
手足口病,6137,0
水痘,2144,0
