0,1,2
病名,发病数,死亡数
甲乙丙类总计,17554,175
甲乙类,8376,175
鼠疫,0,0
霍乱,0,0
传染性非典,0,0
艾滋病,427,169
肝炎,2410,0
甲肝,47,0
乙肝,1830,0
丙肝,447,0
丁肝,1,0
戊肝,76,0
肝炎（未分型）,9,0
脊灰,0,0
人感染高致病性禽流感,0,0
麻疹,0,0
出血热,0,0
狂犬病,0,0
乙脑,1,0
登革热,502,0
炭疽,0,0
痢疾,319,0
肺结核,2275,6
伤寒+副伤寒,10,0
流脑,0,0
百日咳,87,0
白喉,0,0
新生儿破伤风,0,0
猩红热,72,0
布病,3,0
淋病,223,0
梅毒,2045,0
钩体病,1,0
血吸虫病,0,0
疟疾,1,0
人感染H7N9禽流感,0,0
丙类传染病合计,9178,0
流行性感冒,1634,0
流行性腮腺炎,487,0
风疹,217,0
急性出血性结膜炎,149,0
麻风病,1,0
斑疹伤寒,0,0
黑热病,0,0
包虫病,0,0
丝虫病,0,0
其它感染性腹泻病,2617,0
手足口病,4073,0
水痘,4584,0
