0,1,2
病名,发病数,死亡数
甲乙丙类总计,22994,167
甲乙类,8653,167
鼠疫,0,0
霍乱,0,0
传染性非典,0,0
艾滋病,282,145
肝炎,3341,2
甲肝,60,0
乙肝,2398,1
丙肝,728,1
丁肝,1,0
戊肝,147,0
肝炎（未分型）,7,0
脊灰,0,0
人感染高致病性禽流感,0,0
麻疹,2,0
出血热,1,0
狂犬病,1,0
乙脑,0,0
登革热,0,0
炭疽,0,0
痢疾,161,0
肺结核,2376,20
伤寒+副伤寒,2,0
流脑,0,0
百日咳,257,0
白喉,0,0
新生儿破伤风,0,0
猩红热,51,0
布病,2,0
淋病,231,0
梅毒,1874,0
钩体病,0,0
血吸虫病,1,0
疟疾,0,0
人感染H7N9禽流感,0,0
新型冠状病毒肺炎,71,0
丙类传染病合计,14341,0
流行性感冒,1654,0
流行性腮腺炎,358,0
风疹,9,0
急性出血性结膜炎,95,0
麻风病,0,0
斑疹伤寒,0,0
黑热病,0,0
包虫病,2,0
丝虫病,0,0
其它感染性腹泻病,8502,0
手足口病,3721,0
水痘,1264,0
